Sampling_Date;Site;Sample;BorN;Substrate_ID;PrSub;Status;Frequency;ALength;Age;Substrate_Type;Position;Drill
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;5;1;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;5;2;live_barnacle;secondary;1
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;3;1;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;12;NA;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;3;0;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;4;1;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;7;2;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;6;5;2;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;7;2;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;3;1;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;4;1;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;5;2;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;2;0.9;0;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;13;7;live_barnacle;secondary;1
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;5;1;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;2;2;0;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;6;3;primary;primary;1
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;11;7;primary;primary;1
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;10;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;1;7;2;primary;primary;1
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;8;1;0;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;3;2;0;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;empty_test;2;1;0;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;14;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;14;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;14;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;16;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;3;1;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;2;0;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;5;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;4;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;3;live_barnacle;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;9;5;barnacle_empty_test;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;5;barnacle_empty_test;secondary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;1
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;5;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;12;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;6;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;13;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;14;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;8;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;11;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;10;7;primary;primary;0
14.07.2010;1;2010-1;6;2112;Serripes_groenlandicus_empty_shell;live_barnacle;1;15;7;primary;primary;0
