"Box","L","Sp","Outcome"
1,33.1,"Tr","not_eaten"
1,24.8,"Ed","not_eaten"
1,33,"Ed","not_eaten"
1,18.8,"Ed","not_eaten"
1,34,"Ed","not_eaten"
1,22.6,"Ed","not_eaten"
1,34.5,"Ed","not_eaten"
1,17.8,"Ed","not_eaten"
1,29.9,"Tr","not_eaten"
1,21.4,"Tr","not_eaten"
1,34.5,"Tr","not_eaten"
1,28.4,"Tr","not_eaten"
1,19.9,"Tr","not_eaten"
1,33.4,"Ed","not_eaten"
1,21.9,"Tr","not_eaten"
1,27,"Ed","not_eaten"
1,30.3,"Tr","not_eaten"
1,22.2,"Ed","not_eaten"
1,18.4,"Tr","not_eaten"
1,34,"Ed","not_eaten"
1,25.1,"Ed","not_eaten"
1,27.8,"Ed","not_eaten"
1,31,"Ed","not_eaten"
1,27.6,"Ed","not_eaten"
1,29.9,"Tr","not_eaten"
1,30.4,"Tr","not_eaten"
1,23.8,"Ed","not_eaten"
1,20.2,"Ed","not_eaten"
1,20.1,"Ed","not_eaten"
1,28.4,"Ed","not_eaten"
1,30,"Ed","not_eaten"
1,32.9,"Ed","not_eaten"
1,33.3,"Tr","not_eaten"
1,31,"Ed","not_eaten"
1,18.2,"Ed","not_eaten"
1,21.6,"Ed","not_eaten"
1,21.1,"Ed","not_eaten"
1,21.3,"Ed","not_eaten"
1,25.4,"Ed","not_eaten"
1,29.7,"Ed","not_eaten"
1,24.1,"Ed","not_eaten"
1,20,"Ed","not_eaten"
1,31.4,"Ed","not_eaten"
1,27.8,"Tr","not_eaten"
1,25,"Ed","not_eaten"
1,22.8,"Ed","not_eaten"
1,29.5,"Ed","not_eaten"
1,28.8,"Tr","not_eaten"
1,25.9,"Ed","not_eaten"
1,30.9,"Ed","not_eaten"
1,17.7,"Tr","not_eaten"
1,31,"Ed","not_eaten"
1,19.2,"Tr","not_eaten"
1,23.7,"Ed","not_eaten"
1,33.8,"Tr","not_eaten"
1,21.9,"Ed","not_eaten"
1,25.5,"Ed","not_eaten"
1,31.5,"Tr","not_eaten"
1,19.6,"Ed","eaten"
1,18.6,"Tr","eaten"
1,20.4,"Ed","eaten"
1,34.2,"Tr","eaten"
1,20.1,"Tr","eaten"
1,29.6,"Tr","eaten"
1,21.5,"Tr","eaten"
1,21.4,"Tr","eaten"
2,37.6,"Ed","not_eaten"
2,38.4,"Ed","not_eaten"
2,39.1,"Tr","not_eaten"
2,22.7,"Tr","not_eaten"
2,36.6,"Tr","not_eaten"
2,37.5,"Ed","not_eaten"
2,20.2,"Tr","not_eaten"
2,33.3,"Ed","not_eaten"
2,23.7,"Tr","not_eaten"
2,27.3,"Tr","not_eaten"
2,24.3,"Ed","not_eaten"
2,32.8,"Ed","not_eaten"
2,25.2,"Ed","not_eaten"
2,22.1,"Ed","not_eaten"
2,27.9,"Ed","not_eaten"
2,28.4,"Ed","not_eaten"
2,32.3,"Ed","not_eaten"
2,29.9,"Ed","not_eaten"
2,30.5,"Ed","not_eaten"
2,25.1,"Ed","not_eaten"
2,24,"Ed","not_eaten"
2,24.8,"Ed","not_eaten"
2,18.9,"Tr","not_eaten"
2,30.6,"Ed","not_eaten"
2,23.1,"Ed","not_eaten"
2,28,"Ed","not_eaten"
2,33.5,"Ed","not_eaten"
2,27.8,"Ed","not_eaten"
2,19.1,"Tr","not_eaten"
2,25.6,"Ed","not_eaten"
2,16.6,"Tr","not_eaten"
2,32.7,"Tr","not_eaten"
2,16.7,"Ed","not_eaten"
2,28.3,"Ed","not_eaten"
2,30.5,"Tr","not_eaten"
2,23.9,"Ed","not_eaten"
2,16.6,"Ed","not_eaten"
2,35.1,"Ed","not_eaten"
2,23.3,"Ed","not_eaten"
2,24.6,"Ed","not_eaten"
2,26.1,"Ed","not_eaten"
2,21.1,"Ed","not_eaten"
2,26.4,"Ed","not_eaten"
2,27.7,"Ed","not_eaten"
2,33,"Tr","not_eaten"
2,19.2,"Tr","not_eaten"
2,19.6,"Ed","not_eaten"
2,32.7,"Ed","not_eaten"
2,19.1,"Ed","not_eaten"
2,27.5,"Ed","not_eaten"
2,27.2,"Tr","not_eaten"
2,19.5,"Ed","not_eaten"
2,21.2,"Ed","not_eaten"
2,24.4,"Ed","not_eaten"
2,30.1,"Ed","not_eaten"
2,25.8,"Tr","not_eaten"
2,19.7,"Tr","not_eaten"
2,26.7,"Ed","not_eaten"
2,32.9,"Ed","not_eaten"
2,20,"Ed","eaten"
2,26.3,"Ed","eaten"
2,15.2,"Tr","eaten"
2,33.1,"Tr","eaten"
2,32.9,"Ed","eaten"
2,21.2,"Ed","eaten"
2,19.9,"Ed","eaten"
2,29.4,"Tr","eaten"
2,30.8,"Ed","eaten"
3,26.6,"Tr","not_eaten"
3,23.1,"Ed","not_eaten"
3,21,"Ed","not_eaten"
3,32,"Ed","not_eaten"
3,21.7,"Ed","not_eaten"
3,30.1,"Tr","not_eaten"
3,35.2,"Ed","not_eaten"
3,27,"Ed","not_eaten"
3,19.3,"Ed","not_eaten"
3,29.3,"Tr","not_eaten"
3,31.7,"Tr","not_eaten"
3,28.1,"Ed","not_eaten"
3,27.8,"Ed","not_eaten"
3,27.9,"Ed","not_eaten"
3,21.6,"Tr","not_eaten"
3,33,"Ed","not_eaten"
3,34.6,"Tr","not_eaten"
3,21.6,"Ed","not_eaten"
3,27.6,"Ed","not_eaten"
3,26.4,"Ed","not_eaten"
3,22.7,"Ed","not_eaten"
3,33.2,"Tr","not_eaten"
3,31,"Ed","not_eaten"
3,22.1,"Ed","not_eaten"
3,32.9,"Ed","not_eaten"
3,29,"Ed","not_eaten"
3,28.7,"Ed","not_eaten"
3,27.7,"Ed","not_eaten"
3,33.3,"Ed","not_eaten"
3,21.1,"Ed","not_eaten"
3,19.7,"Ed","not_eaten"
3,22.8,"Ed","not_eaten"
3,29.1,"Ed","not_eaten"
3,33,"Ed","not_eaten"
3,33.9,"Tr","not_eaten"
3,35.1,"Ed","not_eaten"
3,24.7,"Tr","not_eaten"
3,30.4,"Ed","not_eaten"
3,28.5,"Ed","not_eaten"
3,23.7,"Ed","not_eaten"
3,20.8,"Tr","not_eaten"
