Year,Experiment,Box,L,Sp,Outcome
2015,Exp2,2_1,31.2,Ed,not_eaten
2015,Exp2,2_1,36.5,Tr,not_eaten
2015,Exp2,2_1,37.9,Tr,not_eaten
2015,Exp2,2_1,26.2,Tr,not_eaten
2015,Exp2,2_1,33.3,Tr,not_eaten
2015,Exp2,2_1,20.1,Tr,not_eaten
2015,Exp2,2_1,24.3,Ed,not_eaten
2015,Exp2,2_1,27.6,Ed,not_eaten
2015,Exp2,2_1,29.4,Ed,not_eaten
2015,Exp2,2_1,25,Ed,not_eaten
2015,Exp2,2_1,27.6,Tr,not_eaten
2015,Exp2,2_1,33.2,Ed,not_eaten
2015,Exp2,2_1,27.6,Tr,not_eaten
2015,Exp2,2_1,17.5,Ed,not_eaten
2015,Exp2,2_1,20.5,Tr,not_eaten
2015,Exp2,2_1,21.2,Tr,not_eaten
2015,Exp2,2_1,19.3,Ed,not_eaten
2015,Exp2,2_1,20,Ed,not_eaten
2015,Exp2,2_1,24.8,Tr,not_eaten
2015,Exp2,2_1,22,Ed,not_eaten
2015,Exp2,2_1,17.3,Ed,not_eaten
2015,Exp2,2_1,21.1,Tr,not_eaten
2015,Exp2,2_1,18.7,Tr,eaten
2015,Exp2,2_1,26.1,Tr,eaten
2015,Exp2,2_2,32.2,Tr,not_eaten
2015,Exp2,2_2,29.9,Ed,not_eaten
2015,Exp2,2_2,25.7,Ed,not_eaten
2015,Exp2,2_2,20.8,Ed,not_eaten
2015,Exp2,2_2,29.2,Tr,not_eaten
2015,Exp2,2_2,20.2,Ed,not_eaten
2015,Exp2,2_2,29.3,Tr,not_eaten
2015,Exp2,2_2,35.7,Ed,not_eaten
2015,Exp2,2_2,26.1,Ed,not_eaten
2015,Exp2,2_2,19.3,Tr,not_eaten
2015,Exp2,2_2,23.8,Tr,not_eaten
2015,Exp2,2_2,29.5,Ed,not_eaten
2015,Exp2,2_2,25.7,Ed,not_eaten
2015,Exp2,2_2,20.5,Ed,not_eaten
2015,Exp2,2_2,16.3,Ed,not_eaten
2015,Exp2,2_2,22.8,Ed,not_eaten
2015,Exp2,2_2,15.9,Ed,not_eaten
2015,Exp2,2_2,23.2,Tr,not_eaten
2015,Exp2,2_2,15.5,Ed,not_eaten
2015,Exp2,2_2,34,Ed,eaten
2015,Exp2,2_2,18.7,Tr,eaten
2015,Exp2,2_3,20.5,Tr,not_eaten
2015,Exp2,2_3,23.1,Tr,not_eaten
2015,Exp2,2_3,34.4,Ed,not_eaten
2015,Exp2,2_3,27.8,Tr,not_eaten
2015,Exp2,2_3,25.2,Ed,not_eaten
2015,Exp2,2_3,28.6,Ed,not_eaten
2015,Exp2,2_3,24.2,Ed,not_eaten
2015,Exp2,2_3,24.2,Tr,not_eaten
2015,Exp2,2_3,37,Ed,not_eaten
