sp	count
host_free	10
host_free	0
host_free	1
host_free	0
host_free	2
host_free	0
host_free	1
host_free	0
host_free	8
host_free	0
host_free	6
host_free	8
host_free	3
host_free	7
host_free	1
host_free	10
host_free	0
host_free	5
host_free	0
host_free	3
host_free	0
host_free	5
host_free	1
host_free	3
host_free	1
host_free	8
host_free	12
host_free	11
host_free	8
host_free	9
host_free	4
host_free	2
host_free	7
host_free	8
host_free	7
host_free	1
host_free	2
host_free	0
host_free	10
host_free	2
host_free	6
host_free	12
host_free	0
host_free	4
host_free	8
host_free	7
host_free	0
host_free	2
host_free	5
host_free	12
host_free	11
host_free	10
host_free	6
host_free	NA
host_symbiont	0
host_symbiont	0
host_symbiont	10
host_symbiont	15
host_symbiont	0
host_symbiont	10
host_symbiont	3
host_symbiont	0
host_symbiont	1
host_symbiont	5
host_symbiont	0
host_symbiont	1
host_symbiont	1
host_symbiont	6
host_symbiont	0
host_symbiont	8
host_symbiont	0
host_symbiont	0
host_symbiont	0
host_symbiont	0
host_symbiont	1
host_symbiont	11
host_symbiont	9
host_symbiont	7
host_symbiont	19
host_symbiont	13
host_symbiont	1
host_symbiont	7
host_symbiont	0
host_symbiont	19
host_symbiont	14
host_symbiont	8
host_symbiont	0
host_symbiont	5
host_symbiont	2
host_symbiont	1
host_symbiont	5
host_symbiont	8
host_symbiont	0
host_symbiont	3
host_symbiont	4
host_symbiont	6
host_symbiont	1
host_symbiont	6
host_symbiont	4
host_symbiont	5
host_symbiont	7
host_symbiont	15
host_symbiont	6
host_symbiont	6
host_symbiont	0
host_symbiont	20
host_symbiont	1
host_symbiont	15
symbiont	2
symbiont	0
symbiont	3
symbiont	2
symbiont	1
symbiont	2
symbiont	0
symbiont	2
symbiont	3
symbiont	3
symbiont	0
symbiont	7
symbiont	0
symbiont	5
symbiont	0
symbiont	1
symbiont	1
symbiont	0
symbiont	1
symbiont	0
symbiont	0
symbiont	0
symbiont	1
symbiont	6
symbiont	1
symbiont	2
symbiont	0
symbiont	1
symbiont	4
symbiont	2
symbiont	3
symbiont	0
symbiont	1
symbiont	4
symbiont	5
symbiont	1
symbiont	0
symbiont	0
symbiont	2
symbiont	1
symbiont	2
symbiont	1
symbiont	0
symbiont	0
symbiont	0
symbiont	2
symbiont	1
symbiont	1
symbiont	1
symbiont	0
symbiont	NA
symbiont	NA
symbiont	NA
symbiont	NA
