Year;Bank;Sample;Juv;Adult
1997;vor4;1;90;42
1997;vor4;2;134;25
1997;vor4;3;166;27
1997;vor4;4;168;48
1997;vor4;5;102;25
1997;vor4;6;69;57
1998;vor4;1;410;21
1998;vor4;2;73;76
1998;vor4;3;347;0
1998;vor4;5;402;5
1998;vor4;6;158;28
1999;vor4;1;282;0
1999;vor4;2;245;2
1999;vor4;3;263;2
1999;vor4;4;346;3
1999;vor4;5;333;7
1999;vor4;6;212;6
2000;vor4;1;207;25
2000;vor4;2;93;24
2000;vor4;3;239;42
2000;vor4;4;132;31
2000;vor4;5;124;38
2000;vor4;6;137;37
2001;vor4;1;38;44
2001;vor4;2;88;68
2001;vor4;3;61;57
2001;vor4;4;142;46
2001;vor4;5;75;65
2001;vor4;6;138;37
2002;vor4;1;65;61
2002;vor4;2;93;42
2002;vor4;3;106;63
2002;vor4;4;97;42
2002;vor4;5;77;56
2002;vor4;6;90;38
2003;vor4;1;444;7
2003;vor4;2;283;17
2003;vor4;3;157;20
2003;vor4;4;224;27
2003;vor4;5;244;20
2003;vor4;6;392;2
2004;vor4;1;192;8
2004;vor4;2;160;23
2004;vor4;3;250;4
2004;vor4;4;179;9
2004;vor4;5;158;16
2004;vor4;6;134;15
2005;vor4;1;180;49
2005;vor4;2;81;45
2005;vor4;3;134;26
2005;vor4;4;176;21
2005;vor4;5;310;12
2005;vor4;6;195;13
2006;vor4;1;104;17
2006;vor4;2;179;8
2006;vor4;3;145;8
2006;vor4;4;132;12
2006;vor4;5;184;3
2006;vor4;6;257;3
2007;vor4;1;124;25
2007;vor4;2;52;8
2007;vor4;3;83;21
2007;vor4;4;56;21
2007;vor4;5;96;19
2007;vor4;6;75;14
2008;vor4;1;461;1
2008;vor4;2;295;22
2008;vor4;3;526;19
2008;vor4;4;488;37
2008;vor4;5;402;6
2008;vor4;6;192;26
2009;vor4;1;159;14
2009;vor4;2;286;0
2009;vor4;3;153;11
2009;vor4;4;278;16
2009;vor4;5;294;2
2009;vor4;6;266;15
2010;vor4;1;217;16
2010;vor4;2;190;7
2010;vor4;3;286;14
2010;vor4;4;230;39
2010;vor4;5;139;33
2010;vor4;6;208;21
2011;vor4;1;794;33
2011;vor4;2;643;21
2011;vor4;3;574;21
2011;vor4;4;529;0
2011;vor4;5;627;24
2011;vor4;6;493;25
