Year;Bank;Sample;Recruits;Small;Large
1997;vor2;1;0;12;25
1997;vor2;2;0;23;27
1997;vor2;3;0;17;36
1997;vor2;4;0;17;27
1997;vor2;5;0;30;25
1997;vor2;6;0;12;27
1999;vor2;1;12;12;41
1999;vor2;2;2;16;38
1999;vor2;3;1;13;49
1999;vor2;4;6;19;52
1999;vor2;5;1;7;31
1999;vor2;6;2;9;34
2000;vor2;1;9;19;52
2000;vor2;2;5;15;43
2000;vor2;3;3;7;19
2000;vor2;4;2;10;27
2000;vor2;5;6;19;26
2000;vor2;6;15;40;38
2001;vor2;1;4;40;43
2001;vor2;2;9;49;66
2001;vor2;3;12;54;51
2001;vor2;4;38;112;29
2001;vor2;5;5;53;17
2001;vor2;6;4;19;45
2002;vor2;1;10;28;29
2002;vor2;2;7;73;39
2002;vor2;3;11;57;45
2002;vor2;4;10;59;29
2002;vor2;5;18;34;30
2002;vor2;6;5;42;36
2003;vor2;1;20;28;29
2003;vor2;2;65;49;31
2003;vor2;3;12;21;21
2003;vor2;4;14;19;35
2003;vor2;5;7;22;13
2003;vor2;6;21;27;35
2004;vor2;1;28;76;30
2004;vor2;2;39;87;31
2004;vor2;3;24;66;25
2004;vor2;4;44;60;24
2004;vor2;5;54;66;14
2004;vor2;6;18;85;55
2005;vor2;1;11;47;37
2005;vor2;2;33;73;38
2005;vor2;3;11;30;21
2005;vor2;4;17;90;43
2005;vor2;5;47;45;19
2005;vor2;6;16;76;35
2006;vor2;1;13;70;29
2006;vor2;4;12;41;19
2006;vor2;7;6;7;7
2006;vor2;10;9;22;10
2006;vor2;13;13;69;25
2006;vor2;16;6;29;32
2007;vor2;1;2;8;34
2007;vor2;2;27;39;37
2007;vor2;3;15;70;43
2007;vor2;4;16;20;33
2007;vor2;5;45;49;77
2007;vor2;6;3;15;23
2008;vor2;1;32;15;36
2008;vor2;2;136;29;31
2008;vor2;3;85;27;35
2008;vor2;4;57;31;42
2008;vor2;5;35;14;28
2008;vor2;6;103;18;31
2009;vor2;1;153;121;17
2009;vor2;2;159;54;12
2009;vor2;3;147;57;18
2009;vor2;4;56;23;43
2009;vor2;5;68;57;39
2009;vor2;6;138;119;21
2010;vor2;1;62;73;32
2010;vor2;2;22;42;23
2010;vor2;3;32;50;30
2010;vor2;4;14;48;47
2010;vor2;5;58;89;26
2010;vor2;6;122;270;30
2011;vor2;1;47;31;37
2011;vor2;2;81;36;28
2011;vor2;3;50;18;29
2011;vor2;4;58;62;29
2011;vor2;5;130;57;23
2011;vor2;6;191;74;37
1997;vor4;1;7;83;42
1997;vor4;2;16;118;25
1997;vor4;3;17;149;27
1997;vor4;4;8;160;48
1997;vor4;5;8;94;25
1997;vor4;6;1;68;57
1999;vor4;2;22;223;2
1999;vor4;3;11;252;2
