population;L;Z;structure
umba_sovhoz;28.8;0.753968254;0.011
umba_sovhoz;28.3;0;0.701
umba_sovhoz;28.1;0.43220339;0.244
umba_sovhoz;26.1;0.442105263;0.861
umba_sovhoz;27.3;0.232142857;0.011
umba_sovhoz;28;0.504132231;0.011
umba_sovhoz;28.6;0.6;0.042
umba_sovhoz;23.8;0.408163265;0.011
umba_sovhoz;41.2;0.964705882;0.011
umba_sovhoz;43.7;0.890547264;0.011
umba_sovhoz;40.1;1;0.011
umba_sovhoz;40.1;0.604395604;0.054
umba_sovhoz;43.9;1;0.012
umba_sovhoz;30.8;0.910447761;0.118
umba_sovhoz;29.1;0.902439024;0.042
umba_sovhoz;45.2;0.819004525;0.011
umba_sovhoz;45;0.685714286;0.014
umba_sovhoz;32.9;0.97810219;0.182
umba_sovhoz;35.9;1.019230769;0.06
umba_sovhoz;39.9;0.81875;0.218
umba_sovhoz;38;0.870786517;0.011
umba_sovhoz;45.1;0.769585253;0.018
umba_sovhoz;40.7;0.952380952;0.01
umba_sovhoz;42;0.916666667;0.011
umba_sovhoz;43.5;0.917431193;0.012
umba_sovhoz;39.5;0.940828402;0.011
umba_sovhoz;33.9;1.02;0.01
umba_sovhoz;41.4;0.959302326;0.011
umba_sovhoz;40.4;1;0.015
umba_sovhoz;45.2;0.572864322;0.041
umba_sovhoz;38;1;0.01
umba_sovhoz;39.9;0.887640449;0.011
umba_sovhoz;38.1;1;0.941
umba_sovhoz;39.8;0.575;0.976
umba_sovhoz;39;0.626506024;0.379
umba_pikut;33.5;0.535714286;0.832
umba_pikut;30.8;0.444444444;0.28
umba_pikut;28.1;0.745454545;0.56
umba_pikut;26.9;0.318181818;0.428
umba_pikut;26.4;0.4;0.973
umba_pikut;26.6;0;0.971
umba_pikut;25.8;0.5;0.394
umba_pikut;50.1;0.939914163;0.011
umba_pikut;19.2;0.65;0.014
umba_pikut;21.7;0;0.7
umba_pikut;28.8;0.375;0.393
umba_pikut;24;0.816326531;0.011
umba_pikut;46.2;0.822966507;0.09
umba_pikut;51.7;0.863247863;0.011
umba_pikut;46.2;1;0.01
umba_pikut;38.4;0.892473118;0.011
umba_pikut;48.6;0.915322581;0.013
umba_pikut;35.4;0.956284153;0.014
umba_pikut;37.7;0.843243243;0.018
umba_pikut;43.2;1.018691589;0.011
umba_pikut;46.8;0.881278539;0.011
umba_pikut;26.5;0.722222222;0.973
umba_pikut;30.4;0.448;0.522
umba_pikut;33.5;0.612244898;0.385
umba_pikut;35.3;0;0.975
umba_pioner;14.8;0.357142857;0.218
umba_pioner;18.4;0.774647887;0.011
umba_pioner;18.2;0.44;0.013
umba_pioner;22.6;0.885057471;0.011
umba_pioner;21.3;0.684210526;0.011
umba_pioner;24.7;0.691489362;0.014
umba_pioner;28.4;0.836065574;0.07
umba_pioner;23.3;0.944444444;0.161
umba_pioner;20.4;0.682352941;0.013
umba_pioner;17.6;0.9375;0.011
umba_pioner;36.8;0.939393939;0.042
umba_pioner;24.4;0.836206897;0.011
umba_pioner;24.2;0.915789474;0.014
umba_pioner;34.5;0.813333333;0.011
umba_pioner;36.8;1;0.014
umba_pioner;37.2;0.719745223;0.99
umba_pioner;38.3;0.922155689;0.011
umba_pioner;33.9;0.992857143;0.224
umba_pioner;30.1;0.873015873;0.012
umba_pioner;31.9;1;0.011
umba_pioner;31.3;0.821428571;0.186
umba_pioner;30.7;1;0.011
umba_pioner;31;1;0.011
umba_pioner;31.2;1;0.232
umba_pioner;32.7;1;0.011
umba_pioner;18.2;0.92;0.041
umba_pioner;38;1;0.011
umba_pioner;23.7;0.842105263;0.014
umba_pioner;25.3;0.932692308;0.011
umba_pioner;21.7;1;0.042
umba_pioner;33.8;0.946666667;0.216
umba_pioner;31.9;0.969465649;0.059
umba_pioner;33.9;0.96969697;0.011
umba_pioner;38.8;1;0.011
umba_pioner;36.2;0.941176471;0.171
umba_pioner;36.6;1;0.011
umba_pioner;41.8;1;0.011
umba_pioner;33.8;1;0.011
umba_pioner;34.6;1;0.011
umba_bridge;22.5;1.032608696;0.011
umba_bridge;37.5;0.839506173;0.014
umba_bridge;38.7;1;0.011
umba_bridge;19.7;1.048780488;0.086
umba_bridge;32.6;0.535714286;0.011
umba_bridge;26.9;0.896226415;0.019
umba_bridge;31.5;0.72;0.011
umba_bridge;26.6;0.727272727;0.01
umba_bridge;40.6;1;0.011
umba_bridge;25.2;1.04;0.011
umba_bridge;30.2;1;0.012
umba_bridge;31.7;1;0.022
umba_bridge;35;1;0.011
umba_bridge;25.9;1.036363636;0.011
umba_bridge;28.4;0.9;0.011
umba_bridge;32.2;0.872180451;0.01
umba_bridge;30.8;1.037037037;0.042
umba_bridge;29.2;1;0.011
umba_bridge;33.8;1.038961039;0.042
umba_bridge;21.5;1.119047619;0.014
umba_kamni;25.7;1.033898305;0.01
umba_kamni;22.5;1.071428571;0.011
umba_kamni;28;1;0.01
umba_kamni;22;1;0.011
umba_kamni;28.3;1;0.012
umba_kamni;23.2;1;0.011
umba_kamni;17.8;1.024390244;0.18
umba_kamni;28;1;0.012
umba_kamni;18.1;1;0.012
umba_kamni;19.8;1;0.014
umba_kamni;19.4;1;0.011
umba_kamni;17.6;1;0.014
umba_kamni;15.5;1;0.01
umba_kamni;26.7;0.930232558;0.011
umba_kamni;25.8;1;0.011
umba_kamni;27.9;1;0.011
umba_kamni;17.6;1;0.012
umba_kamni;13.4;1.053571429;0.01
umba_kamni;16;1;0.011
umba_kamni;17.7;1;0.01
umba_kamni;16.4;1;0.025
umba_kamni;20.4;1;0.011
umba_kamni;25.5;1;0.012
umba_kamni;19.9;1;0.058
umba_kamni;12.2;1;0.011
umba_kamni;16.2;1;0.011
umba_kamni;23;1;0.014
umba_kamni;14.5;1;0.013
umba_kamni;21.8;1;0.011
umba_kamni;32.2;1;0.011
umba_kamni;18.9;1;0.043
umba_kamni;24;0.954545455;0.015
umba_kamni;27.8;1;0.011
umba_kamni;21.1;1;0.011
umba_kamni;19.1;1.064102564;0.014
umba_kamni;24.6;1.038461538;0.011
umba_kamni;19.6;1;0.011
umba_kamni;22.6;1;0.018
umba_kamni;17.6;1.04;0.011
umba_kamni;24.2;1;0.011
umba_kamni;18.6;1;0.011
umba_kamni;23.7;1.036363636;0.012
umba_kamni;16.4;0.955882353;0.01
umba_06;27.1;0.75;0.011
umba_06;33.4;0.892857143;0.01
umba_06;31.4;0.884615385;0.01
umba_06;31.6;1;0.01
umba_06;30.8;1;0.011
umba_06;50.3;1;0.011
umba_06;44.2;1;0.169
umba_06;35;1;0.011
umba_06;32.5;0.967741935;0.011
umba_06;30.7;0.894308943;0.09
umba_06;33.3;1.034482759;0.011
umba_06;31.9;0.966666667;0.011
umba_06;47.6;0.95631068;0.015
umba_06;43.5;1;0.012
umba_06;38.7;0.790960452;0.014
umba_06;39.8;1;0.165
umba_06;45.8;1;0.011
umba_06;48.8;0.991189427;0.011
umba_06;43.9;1;0.011
umba_06;36.9;0.868421053;0.011
umba_06;39.3;0.704142012;0.362
umba_06;32.4;0.8203125;0.014
umba_06;37.2;0.895061728;0.011
umba_06;30.3;0.904;0.332
umba_06;35.3;0.943661972;0.01
umba_06;35.7;0.816901408;0.019
umba_06;35.1;1;0.011
umba_06;36.6;0.921052632;0.011
umba_06;32.4;0.693430657;0.185
padan;25.4;1;0.017
padan;27.9;1;0.041
padan;27.8;0.881355932;0.014
padan;36.1;1;0.011
padan;30.7;0.777777778;0.011
padan;36.1;1.013071895;0.063
padan;34.5;0.96350365;0.015
padan;33.4;0.944444444;0.043
padan;37.9;1;0.041
padan;24.5;1;0.042
padan;26.1;0.961904762;0.229
padan;27.4;1.048543689;0.01
padan;18.8;1.052631579;0.011
padan;21.4;1;0.246
padan;13.9;1;0.634
padan;37.2;1;0.011
padan;35.2;0.915492958;0.01
padan;37.3;1;0.06
padan;36.8;1;0.011
padan;26.8;0.85840708;0.042
padan;20;1.038461538;0.011
padan;19.2;0.96;0.01
padan;39.5;1;0.085
padan;33.4;1;0.014
padan;28.7;1;0.011
padan;40.8;1;0.044
padan;24.8;0.9;0.011
