`ISLAND,PARATIO,UTA,PA,PREDICT
Bota,15.41,P,1,0.5554403
Cabeza,5.63,P,1,0.9145074
Cerraja,25.92,P,1,0.1105751
Coronadito,15.17,A,0,0.5684109
Flecha,13.04,P,1,0.677658
Gemelose,18.85,A,0,0.3699098
Gemelosw,30.95,A,0,0.03957195
Jorabado,22.87,A,0,0.1954108
Mitlan,12.01,A,0,0.724955
Pata,11.6,P,1,0.7425364
Piojo,6.09,P,1,0.9062734
Smith,2.28,P,1,0.9571181
Ventana,4.05,P,1,0.9380141
Bahiaan,59.94,A,0,7.08941E-05
Bahiaas,63.16,A,0,3.49615E-05
Blanca,22.76,A,0,0.199236
Pescador,23.54,A,0,0.1733123
Angeldlg,0.21,P,1,0.9723466
Mejia,2.55,P,1,0.954618
